RootFolder,File,RelativePath,DateTime,Counter0,Animal,Note0,
6. Fotos Camaras Trampa,01080022.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:53:50,0,Caballo,5:1|24,
6. Fotos Camaras Trampa,01080023.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:53:51,0,Caballo,5:2|24,
6. Fotos Camaras Trampa,01080025.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:10,0,Caballo,5:4|24,
6. Fotos Camaras Trampa,01080026.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:10,0,Caballo,5:5|24,
6. Fotos Camaras Trampa,01080027.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:11,0,Caballo,5:6|24,
6. Fotos Camaras Trampa,01080028.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:29,0,Caballo,5:7|24,
6. Fotos Camaras Trampa,01080029.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:29,0,Caballo,5:8|24,
6. Fotos Camaras Trampa,01080030.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:30,0,Caballo,5:9|24,
6. Fotos Camaras Trampa,01080031.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 03:13:17,0,Caballo,5:10|24,
6. Fotos Camaras Trampa,01080032.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 03:13:18,0,Caballo,5:11|24,
6. Fotos Camaras Trampa,01080033.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 03:13:19,0,Caballo,5:12|24,
6. Fotos Camaras Trampa,01080034.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 03:14:36,0,Caballo,5:13|24,
6. Fotos Camaras Trampa,01080035.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 03:14:37,0,Caballo,5:14|24,
