RootFolder,File,RelativePath,DateTime,Counter0,Especie,Note0,Unnamed: 7,Estacion,Year,Month,Day,Time,Hour,Season,Episode_ID,Episode_length
6. Fotos Camaras Trampa,01020010.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-02 11:32:00,1,Raton cola larga,2:1|3,,RoRaCo Renoval,2017,1,2,11:32:00,11,Verano,2,1|3
6. Fotos Camaras Trampa,01020011.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-02 11:32:01,1,Raton cola larga,2:2|3,,RoRaCo Renoval,2017,1,2,11:32:01,11,Verano,2,2|3
6. Fotos Camaras Trampa,01020012.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-02 11:32:02,1,Raton cola larga,2:3|3,,RoRaCo Renoval,2017,1,2,11:32:02,11,Verano,2,3|3
6. Fotos Camaras Trampa,01020013.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-02 14:19:37,1,Raton cola larga,3:1|6,,RoRaCo Renoval,2017,1,2,14:19:37,14,Verano,3,1|6
6. Fotos Camaras Trampa,01020014.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-02 14:19:38,1,Raton cola larga,3:2|6,,RoRaCo Renoval,2017,1,2,14:19:38,14,Verano,3,2|6
6. Fotos Camaras Trampa,01020015.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-02 14:19:39,1,Raton cola larga,3:3|6,,RoRaCo Renoval,2017,1,2,14:19:39,14,Verano,3,3|6
6. Fotos Camaras Trampa,01020016.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-02 14:19:50,1,Raton cola larga,3:4|6,,RoRaCo Renoval,2017,1,2,14:19:50,14,Verano,3,4|6
6. Fotos Camaras Trampa,01020017.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-02 14:19:51,1,Raton cola larga,3:5|6,,RoRaCo Renoval,2017,1,2,14:19:51,14,Verano,3,5|6
6. Fotos Camaras Trampa,01040019.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-04 03:37:34,1,Cachaña,4:1|3,,RoRaCo Renoval,2017,1,4,03:37:34,3,Verano,4,1|3
6. Fotos Camaras Trampa,01040020.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-04 03:37:35,1,Cachaña,4:2|3,,RoRaCo Renoval,2017,1,4,03:37:35,3,Verano,4,2|3
6. Fotos Camaras Trampa,01040021.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-04 03:37:36,1,Cachaña,4:3|3,,RoRaCo Renoval,2017,1,4,03:37:36,3,Verano,4,3|3
6. Fotos Camaras Trampa,01080022.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 02:53:50,1,Caballo,5:1|24,,RoRaCo Renoval,2017,1,8,02:53:50,2,Verano,5,1|24
6. Fotos Camaras Trampa,01080023.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 02:53:51,1,Caballo,5:2|24,,RoRaCo Renoval,2017,1,8,02:53:51,2,Verano,5,2|24
6. Fotos Camaras Trampa,01080025.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 02:54:10,1,Caballo,5:4|24,,RoRaCo Renoval,2017,1,8,02:54:10,2,Verano,5,4|24
6. Fotos Camaras Trampa,01080026.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 02:54:10,1,Caballo,5:5|24,,RoRaCo Renoval,2017,1,8,02:54:10,2,Verano,5,5|24
6. Fotos Camaras Trampa,01080027.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 02:54:11,1,Caballo,5:6|24,,RoRaCo Renoval,2017,1,8,02:54:11,2,Verano,5,6|24
6. Fotos Camaras Trampa,01080028.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 02:54:29,1,Caballo,5:7|24,,RoRaCo Renoval,2017,1,8,02:54:29,2,Verano,5,7|24
6. Fotos Camaras Trampa,01080029.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 02:54:29,1,Caballo,5:8|24,,RoRaCo Renoval,2017,1,8,02:54:29,2,Verano,5,8|24
6. Fotos Camaras Trampa,01080030.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 02:54:30,1,Caballo,5:9|24,,RoRaCo Renoval,2017,1,8,02:54:30,2,Verano,5,9|24
6. Fotos Camaras Trampa,01080031.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:13:17,1,Caballo,5:10|24,,RoRaCo Renoval,2017,1,8,03:13:17,3,Verano,5,10|24
6. Fotos Camaras Trampa,01080032.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:13:18,1,Caballo,5:11|24,,RoRaCo Renoval,2017,1,8,03:13:18,3,Verano,5,11|24
6. Fotos Camaras Trampa,01080033.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:13:19,1,Caballo,5:12|24,,RoRaCo Renoval,2017,1,8,03:13:19,3,Verano,5,12|24
6. Fotos Camaras Trampa,01080034.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:14:36,1,Caballo,5:13|24,,RoRaCo Renoval,2017,1,8,03:14:36,3,Verano,5,13|24
6. Fotos Camaras Trampa,01080035.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:14:37,1,Caballo,5:14|24,,RoRaCo Renoval,2017,1,8,03:14:37,3,Verano,5,14|24
6. Fotos Camaras Trampa,01080036.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:14:38,1,Caballo,5:15|24,,RoRaCo Renoval,2017,1,8,03:14:38,3,Verano,5,15|24
6. Fotos Camaras Trampa,01080037.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:23:40,1,Caballo,5:16|24,,RoRaCo Renoval,2017,1,8,03:23:40,3,Verano,5,16|24
6. Fotos Camaras Trampa,01080038.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:23:40,1,Caballo,5:17|24,,RoRaCo Renoval,2017,1,8,03:23:40,3,Verano,5,17|24
6. Fotos Camaras Trampa,01080039.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:23:41,1,Caballo,5:18|24,,RoRaCo Renoval,2017,1,8,03:23:41,3,Verano,5,18|24
6. Fotos Camaras Trampa,01080040.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:50:50,1,Caballo,5:19|24,,RoRaCo Renoval,2017,1,8,03:50:50,3,Verano,5,19|24
6. Fotos Camaras Trampa,01080043.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:51:18,1,Caballo,5:22|24,,RoRaCo Renoval,2017,1,8,03:51:18,3,Verano,5,22|24
6. Fotos Camaras Trampa,01080044.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:51:18,1,Caballo,5:23|24,,RoRaCo Renoval,2017,1,8,03:51:18,3,Verano,5,23|24
6. Fotos Camaras Trampa,01080045.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-08 03:51:19,1,Caballo,5:24|24,,RoRaCo Renoval,2017,1,8,03:51:19,3,Verano,5,24|24
6. Fotos Camaras Trampa,01090046.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-09 00:51:44,1,Cachaña,6:1|3,,RoRaCo Renoval,2017,1,9,00:51:44,0,Verano,6,1|3
6. Fotos Camaras Trampa,01090047.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-09 00:51:45,1,Cachaña,6:2|3,,RoRaCo Renoval,2017,1,9,00:51:45,0,Verano,6,2|3
6. Fotos Camaras Trampa,01090048.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-09 00:51:46,1,Cachaña,6:3|3,,RoRaCo Renoval,2017,1,9,00:51:46,0,Verano,6,3|3
6. Fotos Camaras Trampa,01110049.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-11 03:32:59,3,Cachaña,7:1|6,,RoRaCo Renoval,2017,1,11,03:32:59,3,Verano,7,1|6
6. Fotos Camaras Trampa,01110050.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-11 03:32:59,1,Cachaña,7:2|6,,RoRaCo Renoval,2017,1,11,03:32:59,3,Verano,7,2|6
6. Fotos Camaras Trampa,01110051.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-11 03:33:00,1,Cachaña,7:3|6,,RoRaCo Renoval,2017,1,11,03:33:00,3,Verano,7,3|6
6. Fotos Camaras Trampa,01110052.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-11 03:38:29,1,Cachaña,7:4|6,,RoRaCo Renoval,2017,1,11,03:38:29,3,Verano,7,4|6
6. Fotos Camaras Trampa,01150055.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-15 15:30:08,1,Zorro culpeo,8:1|3,,RoRaCo Renoval,2017,1,15,15:30:08,15,Verano,8,1|3
6. Fotos Camaras Trampa,01150056.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-15 15:30:09,1,Zorro culpeo,8:2|3,,RoRaCo Renoval,2017,1,15,15:30:09,15,Verano,8,2|3
6. Fotos Camaras Trampa,01150057.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-15 15:30:10,1,Zorro culpeo,8:3|3,,RoRaCo Renoval,2017,1,15,15:30:10,15,Verano,8,3|3
6. Fotos Camaras Trampa,01220058.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-22 18:48:23,1,Chucao,9:1|3,,RoRaCo Renoval,2017,1,22,18:48:23,18,Verano,9,1|3
6. Fotos Camaras Trampa,01220059.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-22 18:48:24,1,Chucao,9:2|3,,RoRaCo Renoval,2017,1,22,18:48:24,18,Verano,9,2|3
6. Fotos Camaras Trampa,01220060.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-22 18:48:25,1,Chucao,9:3|3,,RoRaCo Renoval,2017,1,22,18:48:25,18,Verano,9,3|3
6. Fotos Camaras Trampa,01250061.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-25 06:47:47,1,Chucao,10:1|3,,RoRaCo Renoval,2017,1,25,06:47:47,6,Verano,10,1|3
6. Fotos Camaras Trampa,01250062.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-25 06:47:48,1,Chucao,10:2|3,,RoRaCo Renoval,2017,1,25,06:47:48,6,Verano,10,2|3
6. Fotos Camaras Trampa,01250063.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-01-25 06:47:49,1,Chucao,10:3|3,,RoRaCo Renoval,2017,1,25,06:47:49,6,Verano,10,3|3
6. Fotos Camaras Trampa,02230094.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-02-23 14:40:21,1,Zorro culpeo,16:1|3,,RoRaCo Renoval,2017,2,23,14:40:21,14,Verano,16,1|3
6. Fotos Camaras Trampa,02230095.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-02-23 14:40:22,1,Zorro culpeo,16:2|3,,RoRaCo Renoval,2017,2,23,14:40:22,14,Verano,16,2|3
6. Fotos Camaras Trampa,02230096.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-02-23 14:40:23,1,Zorro culpeo,16:3|3,,RoRaCo Renoval,2017,2,23,14:40:23,14,Verano,16,3|3
6. Fotos Camaras Trampa,02230097.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-02-23 16:40:23,1,Zorro culpeo,17:1|3,,RoRaCo Renoval,2017,2,23,16:40:23,16,Verano,17,1|3
6. Fotos Camaras Trampa,02230098.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-02-23 16:40:24,1,Zorro culpeo,17:2|3,,RoRaCo Renoval,2017,2,23,16:40:24,16,Verano,17,2|3
6. Fotos Camaras Trampa,02230099.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-02-23 16:40:25,1,Zorro culpeo,17:3|3,,RoRaCo Renoval,2017,2,23,16:40:25,16,Verano,17,3|3
6. Fotos Camaras Trampa,02280103.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-02-28 17:36:45,1,Zorro culpeo,19:1|3,,RoRaCo Renoval,2017,2,28,17:36:45,17,Verano,19,1|3
6. Fotos Camaras Trampa,02280104.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-02-28 17:36:46,1,Zorro culpeo,19:2|3,,RoRaCo Renoval,2017,2,28,17:36:46,17,Verano,19,2|3
6. Fotos Camaras Trampa,03010106.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-03-01 12:39:08,1,Zorro culpeo,20:1|3,,RoRaCo Renoval,2017,3,1,12:39:08,12,Verano,20,1|3
6. Fotos Camaras Trampa,03010107.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-03-01 12:39:09,1,Zorro culpeo,20:2|3,,RoRaCo Renoval,2017,3,1,12:39:09,12,Verano,20,2|3
6. Fotos Camaras Trampa,03010108.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-03-01 12:39:10,1,Zorro culpeo,20:3|3,,RoRaCo Renoval,2017,3,1,12:39:10,12,Verano,20,3|3
6. Fotos Camaras Trampa,03010109.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-03-01 13:31:39,1,Zorro culpeo,21:1|3,,RoRaCo Renoval,2017,3,1,13:31:39,13,Verano,21,1|3
6. Fotos Camaras Trampa,03010110.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-03-01 13:31:40,1,Zorro culpeo,21:2|3,,RoRaCo Renoval,2017,3,1,13:31:40,13,Verano,21,2|3
6. Fotos Camaras Trampa,03010111.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-03-01 13:31:41,1,Zorro culpeo,21:3|3,,RoRaCo Renoval,2017,3,1,13:31:41,13,Verano,21,3|3
6. Fotos Camaras Trampa,03010112.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-03-01 20:09:41,1,Jabali,22:1|6,,RoRaCo Renoval,2017,3,1,20:09:41,20,Verano,22,1|6
6. Fotos Camaras Trampa,03010113.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok,2017-03-01 20:09:42,1,Jabali,22:2|6,,RoRaCo Renoval,2017,3,1,20:09:42,20,Verano,22,2|6
