RootFolder,File,RelativePath,DateTime,Counter0,Especie,Note0,
6. Fotos Camaras Trampa,01020010.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-02 11:32:00,0,Raton cola larga,2:1|3,
6. Fotos Camaras Trampa,01020011.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-02 11:32:01,0,Raton cola larga,2:2|3,
6. Fotos Camaras Trampa,01020012.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-02 11:32:02,0,Raton cola larga,2:3|3,
6. Fotos Camaras Trampa,01020013.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-02 14:19:37,0,Raton cola larga,3:1|6,
6. Fotos Camaras Trampa,01020014.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-02 14:19:38,0,Raton cola larga,3:2|6,
6. Fotos Camaras Trampa,01020015.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-02 14:19:39,0,Raton cola larga,3:3|6,
6. Fotos Camaras Trampa,01020016.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-02 14:19:50,0,Raton cola larga,3:4|6,
6. Fotos Camaras Trampa,01020017.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-02 14:19:51,0,Raton cola larga,3:5|6,
6. Fotos Camaras Trampa,01040019.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-04 03:37:34,1,Cachaña,4:1|3,
6. Fotos Camaras Trampa,01040020.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-04 03:37:35,1,Cachaña,4:2|3,
6. Fotos Camaras Trampa,01040021.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-04 03:37:36,0,Cachaña,4:3|3,
6. Fotos Camaras Trampa,01080022.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:53:50,0,Caballo,5:1|24,
6. Fotos Camaras Trampa,01080023.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:53:51,0,Caballo,5:2|24,
6. Fotos Camaras Trampa,01080025.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:10,0,Caballo,5:4|24,
6. Fotos Camaras Trampa,01080026.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:10,0,Caballo,5:5|24,
6. Fotos Camaras Trampa,01080027.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:11,0,Caballo,5:6|24,
6. Fotos Camaras Trampa,01080028.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:29,0,Caballo,5:7|24,
6. Fotos Camaras Trampa,01080029.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:29,0,Caballo,5:8|24,
6. Fotos Camaras Trampa,01080030.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 02:54:30,0,Caballo,5:9|24,
6. Fotos Camaras Trampa,01080031.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 03:13:17,0,Caballo,5:10|24,
6. Fotos Camaras Trampa,01080032.JPG,1. Proyecto Fauna FMA (Feb-May 2021)\Estacion 2. RoRaCo ok\03\100EK113 ok, 2017-01-08 03:13:18,0,Caballo,5:11|24,
