"sp1","sp2","guild_type","n1","n2","estimator","estimate","ci_low","ci_high","category"
"Zorro culpeo","Liebre","Native vs. Invasive",161,129,"Dhat4",0.878969174486189,0.847223571313512,0.910714777658866,"High"
"Guina","Perro","Native vs. Invasive",14,46,"Dhat1",0.757144332726891,0.712960325972374,0.801328339481407,"Moderate–High"
"Puma","Liebre","Native vs. Invasive",12,129,"Dhat1",0.750930978210429,0.710388436174264,0.791473520246594,"Moderate–High"
"Zorro culpeo","Jabali","Native vs. Invasive",161,18,"Dhat1",0.741460604645145,0.705257408528906,0.777663800761384,"Moderate–High"
"Puma","Jabali","Native vs. Invasive",12,18,"Dhat1",0.734337973347142,0.689240596936803,0.779435349757481,"Moderate–High"
"Guina","Liebre","Native vs. Invasive",14,129,"Dhat1",0.706146262122905,0.669192879744359,0.74309964450145,"Moderate"
"Zorro culpeo","Perro","Native vs. Invasive",161,46,"Dhat1",0.670978839522239,0.626591398081377,0.715366280963101,"Moderate"
"Guina","Zorro culpeo","Native vs. Native",14,161,"Dhat1",0.820877242887041,0.778073839602574,0.863680646171509,"High"
"Puma","Guina","Native vs. Native",12,14,"Dhat1",0.801646549614134,0.765641135657195,0.837651963571072,"High"
"Puma","Zorro culpeo","Native vs. Native",12,161,"Dhat1",0.763497817931724,0.724855051576308,0.802140584287141,"Moderate–High"
