campaign,camera_num,Deployments,scientificName,timestamp,timestamp_corrected,date_fix,File,filePath,thumbnail_path,thumbnail_on_disk,observationComments,reviewOutcome,label_conflict_pv_vs_primavera,conflict_other_label
pv_2025_2026,4.0,TC4_M5.2,Cervus elaphus,2025-09-06 00:28:57,2025-09-06 00:28:57,none,09060102.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Ciervo_rojo_Cervus_elaphus\TC4_M5_2_09060102.jpg,False,Ciervo rojo,corrected,True,primavera=Lepus europaeus | pv=Cervus elaphus
pv_2025_2026,4.0,TC4_M5.2,Cervus elaphus,2025-10-15 06:28:37,2025-10-15 06:28:37,none,10150189.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Ciervo_rojo_Cervus_elaphus\TC4_M5_2_10150189.jpg,True,Ciervo rojo,corrected,True,primavera=Canis lupus familiaris | pv=Cervus elaphus
pv_2025_2026,4.0,TC4_M5.2,Cervus elaphus,2025-11-04 19:35:47,2025-11-04 19:35:47,none,11040253.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Ciervo_rojo_Cervus_elaphus\TC4_M5_2_11040253.jpg,False,Ciervo rojo,corrected,True,primavera=animal sin especie | pv=Cervus elaphus
otono_2025,7.0,CT07,Cervus elaphus,2025-06-02 19:35:14,2025-06-02 19:35:14,none,06020042.JPG,CT07\06020042.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Ciervo_rojo_Cervus_elaphus\CT07_06020042.jpg,True,Ciervo rojo,corrected,False,
otono_2025,9.0,CT09,Cervus elaphus,2025-04-03 20:26:35,2025-04-03 20:26:35,none,04030431.JPG,CT09\04030431.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Ciervo_rojo_Cervus_elaphus\CT09_04030431.jpg,True,Ciervo rojo,corrected,False,
primavera_2025,13.0,TC13_M16.2,Cervus elaphus,2025-10-25 18:47:29,2025-10-25 18:47:29,none,10250085.JPG,TC13_M16.2\10250085.JPG,,False,Ciervo rojo,corrected,False,
pv_2025_2026,13.0,TC13_M16.2,Cervus elaphus,2025-10-25 18:47:29,2025-10-25 18:47:29,none,10250085.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Ciervo_rojo_Cervus_elaphus\TC13_M16_2_10250085.jpg,True,Ciervo rojo,corrected,False,
primavera_2025,13.0,TC13_M16.2,Cervus elaphus,2025-10-25 18:47:30,2025-10-25 18:47:30,none,10250086.JPG,TC13_M16.2\10250086.JPG,,False,Ciervo rojo,corrected,False,
primavera_2025,13.0,TC13_M16.2,Cervus elaphus,2025-10-25 18:47:30,2025-10-25 18:47:30,none,10250087.JPG,TC13_M16.2\10250087.JPG,,False,Ciervo rojo,corrected,False,
pv_2025_2026,13.0,TC13_M16.2,Cervus elaphus,2025-10-25 18:47:30,2025-10-25 18:47:30,none,10250086.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Ciervo_rojo_Cervus_elaphus\TC13_M16_2_10250086.jpg,True,Ciervo rojo,corrected,False,
pv_2025_2026,13.0,TC13_M16.2,Cervus elaphus,2025-10-25 18:47:30,2025-10-25 18:47:30,none,10250087.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Ciervo_rojo_Cervus_elaphus\TC13_M16_2_10250087.jpg,True,Ciervo rojo,corrected,False,
pv_2025_2026,14.0,TC14_M11.2,Cervus elaphus,2025-10-02 09:52:37,2025-10-02 09:52:37,none,10020834.JPG,,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Primavera-verano 2025-2026\species\Ciervo_rojo_Cervus_elaphus\TC14_M11_2_10020834.jpg,True,Ciervo rojo,corrected,False,
otono_2025,15.0,CT15,Cervus elaphus,2017-01-23 18:02:37,2025-01-23 18:02:37,+8yr,01230193.JPG,CT15\01230193.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Ciervo_rojo_Cervus_elaphus\CT15_01230193.jpg,True,Ciervo rojo,corrected,False,
otono_2025,15.0,CT15,Cervus elaphus,2017-01-23 18:02:38,2025-01-23 18:02:38,+8yr,01230194.JPG,CT15\01230194.JPG,C:\Users\USUARIO\Dev\Python\camera-traps\exports\Otoño 2025\species\Ciervo_rojo_Cervus_elaphus\CT15_01230194.jpg,True,Ciervo rojo,corrected,False,
