campaign,station,deployment,segment,n_images,camera_start,camera_end,reason,candidate_frames,person_vehicle_frames,mmdd_mismatch,mismatch_at_midnight,mismatch_verdict,coherent,recoverable_by_anchor
otono_2025,CT03,CT03,0,321,2024-10-10 01:39:13,2025-06-05 15:38:59,filename_mmdd_disagrees_with_datetime,116,115,3,3,BOUNDARY ARTEFACT (all mismatches <=120s from midnight),False,YES - technician frames present
otono_2025,CT08,CT08,0,229,2024-09-09 15:54:20,2025-05-06 16:15:05,no_anchor_in_segment,14,12,0,0,no mismatch in this segment,True,YES - technician frames present
otono_2025,CT10,CT10,0,285,2024-10-09 15:55:17,2025-06-05 16:32:32,no_anchor_in_segment,72,69,0,0,no mismatch in this segment,True,YES - technician frames present
otono_2025,CT13,CT13,0,37,2024-10-22 16:52:15,2025-02-28 05:56:54,no_anchor_in_segment,17,15,0,0,no mismatch in this segment,True,YES - technician frames present
otono_2025,CT13,CT13,1,17,2025-02-28 04:56:54,2025-05-29 14:03:45,no_anchor_in_segment,5,3,0,0,no mismatch in this segment,True,YES - technician frames present
otono_2025,CT15,CT15,0,15,2025-01-10 15:07:13,2025-01-11 17:50:10,no_anchor_in_segment,3,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT15,CT15,1,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT15,CT15,2,27,2017-01-01 00:00:00,2017-01-07 03:01:23,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT15,CT15,3,6,2017-01-01 00:00:00,2017-01-01 02:38:45,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT15,CT15,4,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT15,CT15,5,30,2017-01-01 00:00:00,2017-01-09 23:34:26,filename_mmdd_disagrees_with_datetime,2,0,27,0,GENUINE (27 of 27 away from midnight),False,NO - clock incoherent
otono_2025,CT15,CT15,6,12,2017-01-01 00:00:00,2017-01-01 17:20:04,filename_mmdd_disagrees_with_datetime,2,0,6,0,GENUINE (6 of 6 away from midnight),False,NO - clock incoherent
otono_2025,CT15,CT15,7,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT15,CT15,8,9,2017-01-01 00:00:00,2017-01-02 22:49:42,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT15,CT15,9,9,2017-01-01 00:00:00,2017-01-02 20:44:42,filename_mmdd_disagrees_with_datetime,2,0,6,0,GENUINE (6 of 6 away from midnight),False,NO - clock incoherent
otono_2025,CT15,CT15,10,9,2017-01-01 00:00:00,2017-01-09 14:46:26,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT15,CT15,11,6,2017-01-01 00:00:00,2017-01-07 22:45:18,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT15,CT15,12,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT15,CT15,13,60,2017-01-01 00:00:00,2017-03-30 00:43:59,no_anchor_in_segment,4,2,0,0,no mismatch in this segment,True,YES - technician frames present
otono_2025,CT16,CT16,0,6,2025-01-09 14:18:58,2025-01-09 14:19:21,no_anchor_in_segment,5,2,0,0,no mismatch in this segment,True,YES - technician frames present
otono_2025,CT16,CT16,1,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT16,CT16,2,6,2017-01-01 00:00:00,2017-01-07 23:43:36,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT16,CT16,3,15,2017-01-01 00:00:00,2017-01-09 19:26:41,filename_mmdd_disagrees_with_datetime,2,0,12,0,GENUINE (12 of 12 away from midnight),False,NO - clock incoherent
otono_2025,CT16,CT16,4,6,2017-01-01 00:00:00,2017-01-01 18:12:56,filename_mmdd_disagrees_with_datetime,2,0,3,0,GENUINE (3 of 3 away from midnight),False,NO - clock incoherent
otono_2025,CT16,CT16,5,6,2017-01-01 00:00:00,2017-01-03 08:52:02,filename_mmdd_disagrees_with_datetime,2,0,3,0,GENUINE (3 of 3 away from midnight),False,NO - clock incoherent
otono_2025,CT16,CT16,6,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT16,CT16,7,6,2017-01-01 00:00:00,2017-01-01 10:51:00,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT16,CT16,8,21,2017-01-01 00:00:00,2017-04-10 06:42:03,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,0,23,2017-01-01 00:04:10,2017-01-06 00:28:37,filename_mmdd_disagrees_with_datetime,3,0,23,0,GENUINE (23 of 23 away from midnight),False,NO - clock incoherent
otono_2025,CT19,CT19,1,4,2017-01-01 00:00:00,2017-01-01 19:08:02,filename_mmdd_disagrees_with_datetime,2,0,2,0,GENUINE (2 of 2 away from midnight),False,NO - clock incoherent
otono_2025,CT19,CT19,2,4,2017-01-01 00:00:00,2017-01-02 17:26:55,filename_mmdd_disagrees_with_datetime,2,0,2,0,GENUINE (2 of 2 away from midnight),False,NO - clock incoherent
otono_2025,CT19,CT19,3,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,4,16,2017-01-01 00:00:00,2017-01-06 00:05:06,filename_mmdd_disagrees_with_datetime,2,0,14,0,GENUINE (14 of 14 away from midnight),False,NO - clock incoherent
otono_2025,CT19,CT19,5,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,6,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,7,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,8,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
