station_id,grid_id,lat,lon,elevation_m,camera_unit_id,height_m,bearing_deg,detection_distance_m,notes
CT01,67,-39.45183,-71.72707,1263,,,,,
CT02,57,-39.45163,-71.73252,1223,,,,,
CT03,34,-39.43796,-71.74220,998,,,,,
CT04,24,-39.43774,-71.74829,1004,,,,,
CT05,58,-39.45579,-71.73253,1270,,,,,
CT06,11,-39.42418,-71.75465,861,,,,,
CT07,56,-39.44718,-71.73228,1232,,,,,
CT08,35,-39.44286,-71.74485,1048,,,,,
CT09,12,-39.42885,-71.75478,886,,,,,
CT10,36,-39.44675,-71.74390,1135,,,,,
CT11,27,-39.45130,-71.74873,1102,,,,,
CT12,29,-39.45905,-71.75111,1209,,,,,
CT13,28,-39.45556,-71.75083,1172,,,,,
CT14,46,-39.44709,-71.73836,1048,,,,,
CT15,37,-39.45142,-71.74398,1118,,,,,
CT16,38,-39.45524,-71.74502,1126,,,,,
CT17,47,-39.45180,-71.73987,1062,,,,,
CT18,33,-39.43320,-71.74338,978,,,,,
CT19,13,-39.43286,-71.75497,923,,,,,
CT20,4,-39.43752,-71.76076,1231,,,,,
CT21,45,-39.44299,-71.73801,1037,,,,,
CT22,23,-39.43296,-71.74903,951,,,,,
CT23,44,-39.43704,-71.73900,974,,,,,
CT24,43,-39.43359,-71.73804,957,,,,,
CT25,32,-39.42929,-71.74325,945,,,,,
CT26,22,-39.42908,-71.74894,920,,,,,"Coordenada corregida 2026-04-15: la planilla historica tenia 39d25'44,7"" copiado como 39,25447, lo que dejaba la estacion 19 km fuera de la reserva."
CT27,,-39.45689,-71.72243,1408.06,,,,,"Instalada el 2025-12-11 (confirmado por Felipe 2026-08-24); se descarta la fecha alternativa 2025-11-12, que era una transposicion dia-mes. El waypoint GPS marca 15:52:56 UTC = 12:52:56 local, y el primer cuadro de la camara es 12:49:01 local: la camara se disparo al montarla y el punto se tomo 3m55s despues. Reloj verificado correcto contra la secuencia de retiro (ver deployment_anchors.csv de otono_2026). Altitud tomada del waypoint. Grilla por establecer en terreno."
