station_id,visit_date,visit_time,visit_type,campaign_opened,observers,camera_unit_id,camera_working,camera_datetime_observed,clock_adjusted,camera_datetime_after,card_changed,batteries_changed,moved,lat,lon,height_m,bearing_deg,detection_distance_m,notes,source_sheet,data_flags
CT01,2024-12-10,15:13,instalacion,otono_2025,SC,,,,,,,,,,,,,,"Cruzando la quebrada al final del sendero Quetrupillán, en el límite de BP. Track en Avenza SC. Bosque de Araucaria-Lenga-Coihue. Sotobosque de abundante canelo enano, chaura, taique, maitén enano, luma blanca",Registro de instalacion,
CT01,2025-05-28,,revision,primavera_2025,,,,,,,yes,yes,yes,-39.45183,-71.72707,,,,"Se sacó la cámara de la quebrada por estar muy lejos del camino. Se reinstaló en un punto cercano al sendero Quetrupillán, al lado de la parcela de vegetación 1300. Punto actualizado en cartografía.",Registro de revisión_Otoño 2025,
CT01,2025-11-24,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT01,2026-05-13,12:00,revision,,,,,,,,yes,yes,,-39.45183,-71.72707,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT02,2024-12-10,16:37,instalacion,otono_2025,SC,,,,,,,,,,,,,,"Quebrada seca, a un costado del camino Araucarias. Bosque de Coihue.",Registro de instalacion,
CT02,2025-05-14,,revision,primavera_2025,,,,,,,yes,yes,yes,-39.45163,-71.73252,,,,"Se movió 8 m hacia el norte a un árbol cercano (tronco anterior podrido) | La CT se encontraba en modo ""camera"" (no híbrido). Probablemente debido al bajo nivel de batería, prioriza registro fotográfico",Registro de revisión_Otoño 2025,
CT02,2026-01-08,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,"date_swapped: Excel stored 2026-08-01 (locale m/d/y misparse), read as 2026-01-08"
CT02,2026-05-13,14:00,revision,,,,,,,,yes,yes,,-39.45163,-71.73252,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT03,2024-10-09,17:20,instalacion,otono_2025,"FG, SC, TAO, FA, MH",,,,,,,,,,,,,,Sendero santuario de anfibios,Registro de instalacion,
CT03,2025-06-05,,revision,primavera_2025,,,,,,,yes,yes,,-39.43796,-71.74220,2,,,Se subió 2 m aprox sobre el nivel del suelo,Registro de revisión_Otoño 2025,"date_ambiguous_source: '5/6/2025' read d/m/y as 2025-06-05; height_m approximate, from field remark"
CT03,2026-01-13,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT03,2026-05-14,14:48,revision,,,,,,,,yes,yes,,-39.43796,-71.74220,,,,Le falta cinta marcadora,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT04,2024-10-09,16:15,instalacion,otono_2025,"FG, SC, TAO",,,,,,,,,,,,,,Laguna,Registro de instalacion,
CT04,2025-05-14,,revision,primavera_2025,,,,,,,yes,yes,,-39.43774,-71.74829,1.5,,,"Memoria llena | Se subió a 1,5 m sobre el nivel del suelo",Registro de revisión_Otoño 2025,"height_m approximate, from field remark"
CT04,2025-11-21,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT04,2026-05-13,17:20,revision,,,,,,,,yes,yes,,-39.43774,-71.74829,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT05,2024-12-11,15:28,instalacion,otono_2025,"SC, RR",,,,,,,,,,,,,,"Fondo de quebrada cerca del sendero 3 hermanas. TC instalada en puente natural que cruza el estero. Bosque de Araucaria-Lenga-Coihue, sotobosque de corcolén, chaura, canelo enano, maitén enano",Registro de instalacion,
CT05,2025-05-28,,revision,primavera_2025,,,,,,,yes,yes,,-39.45579,-71.73253,2,,,Se subió 2 m aprox sobre el nivel del suelo,Registro de revisión_Otoño 2025,"height_m approximate, from field remark"
CT05,2026-01-08,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,"date_swapped: Excel stored 2026-08-01 (locale m/d/y misparse), read as 2026-01-08"
CT05,2026-05-14,11:00,revision,,,,,,,,yes,yes,,-39.45579,-71.73253,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT06,2024-10-09,11:44,instalacion,otono_2025,"FG, SC, TAO",,,,,,,,,,,,,,Cruzando pasarela atrás del sendero El Changle,Registro de instalacion,
CT06,2025-05-14,,revision,primavera_2025,,,,,,,yes,yes,,-39.42418,-71.75465,2,,,Se subió a 2 m sobre el nivel del suelo,Registro de revisión_Otoño 2025,"height_m approximate, from field remark"
CT06,2025-11-13,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT06,2026-05-13,15:00,revision,,,,,,,,yes,yes,,-39.42418,-71.75465,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT07,2024-12-11,16:28,instalacion,otono_2025,"SC, RR",,,,,,,,,,,,,,"Costado del camino araucarias, bosque de Coihue-Araucaria, sotobosque de abundante canelo enano y colihue",Registro de instalacion,
CT07,2025-06-04,,revision,primavera_2025,,,,,,,yes,yes,,-39.44718,-71.73228,2,,,Se subió a 2 m aprox sobre el nivel del suelo,Registro de revisión_Otoño 2025,"date_ambiguous_source: '4/6/2025' read d/m/y as 2025-06-04; height_m approximate, from field remark"
CT07,2026-01-08,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,"date_swapped: Excel stored 2026-08-01 (locale m/d/y misparse), read as 2026-01-08"
CT07,2026-05-14,15:00,revision,,,,,,,,yes,yes,,-39.44718,-71.73228,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT08,2024-10-09,15:40,instalacion,otono_2025,"FG, SC, TAO",,,,,,,,,,,,,,Acueducto,Registro de instalacion,"install date corrected 2024-09-09 -> 2024-10-09 (confirmed by Felipe 2026-08-11): the otono_2025 sheet records ""las primeras fotos dicen septiembre, debe decir octubre"", and CT03/CT04/CT06/CT09/CT10 were all installed 2024-10-09; the sheet had transcribed the camera clock"
CT08,2025-06-05,,revision,primavera_2025,,,,,,,yes,yes,,-39.44286,-71.74485,2,,,"Se subió 2 m aprox sobre el nivel del suelo | Error en la fecha de la cámara trampa (las primeras fotos dicen septiembre, debe decir octubre)",Registro de revisión_Otoño 2025,"date_ambiguous_source: '5/6/2025' read d/m/y as 2025-06-05; clock_state from field remark; height_m approximate, from field remark"
CT08,2026-01-13,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT08,2026-05-13,16:17,revision,,,,,,,,yes,yes,,-39.44286,-71.74485,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT09,2024-10-09,12:46,instalacion,otono_2025,"FG, SC, TAO, RR",,,,,,,,,,,,,,costado sendero salto mariposa,Registro de instalacion,
CT09,2025-05-14,,revision,primavera_2025,,,,,,,yes,yes,,-39.42885,-71.75478,2,,,"Se subió a 2 m sobre el nivel del suelo | La CT se encontraba en modo ""camera"" (no híbrido). Probablemente debido al bajo nivel de batería, prioriza registro fotográfico",Registro de revisión_Otoño 2025,"height_m approximate, from field remark"
CT09,2025-11-21,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT09,2026-05-13,15:30,revision,,,,,,,,yes,yes,,-39.42885,-71.75478,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT10,2024-10-09,15:00,instalacion,otono_2025,"FG, SC, TAO",,,,,,,,,,,,,,Camino,Registro de instalacion,
CT10,2025-05-28,,revision,primavera_2025,,,,,,,yes,yes,,-39.44675,-71.74390,2,,,"Se subió a 2 m sobre el nivel del suelo, en el mismo sentido de disparo",Registro de revisión_Otoño 2025,"height_m approximate, from field remark"
CT10,2025-11-25,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT10,2026-05-14,10:05,revision,,,,,,,,yes,yes,,-39.44675,-71.74390,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT11,2024-10-22,17:25,instalacion,otono_2025,"FG, ME,BP",,,,,,,,,,,,,,Costado del camino,Registro de instalacion,
CT11,2025-05-29,,revision,primavera_2025,,,,,,,yes,yes,,-39.45130,-71.74873,,,,Camino Puma,Registro de revisión_Otoño 2025,
CT11,2025-11-25,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT11,2026-05-13,15:54,revision,,,,,,,,yes,yes,,-39.45130,-71.74873,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT12,2024-10-22,16:29,instalacion,otono_2025,FG,,,,,,,,,,,,,,En un tronco caído en una zona de coligue,Registro de instalacion,
CT12,2025-05-29,,revision,primavera_2025,,,,,,,yes,yes,yes,-39.45905,-71.75111,,,,"Se movió la cámara a un árbol cercano. | SD llena, instalación se hizo con nieve que se derritió a los pocos días y la cámara se tapó con ramas. La memoria se llenó de fotos de canelo enano",Registro de revisión_Otoño 2025,
CT12,2025-11-25,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT12,2026-05-13,15:04,revision,,,,,,,,yes,yes,,-39.45905,-71.75111,,,,"Vegetación muy densa, considerar cambiar",Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT13,2024-10-22,16:54,instalacion,otono_2025,"FG, ME,BP",,,,,,,,,,,,,,"Claro despejado al lado del camino, al costado de un riachuelo",Registro de instalacion,
CT13,2025-05-29,,revision,primavera_2025,,,,,,,yes,yes,,-39.45556,-71.75083,2,,,Se subió a 2 m aprox sobre el nivel del suelo,Registro de revisión_Otoño 2025,"height_m approximate, from field remark"
CT13,2025-11-25,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT13,2026-05-13,15:34,revision,,,,,,,,yes,yes,,-39.45556,-71.75083,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT14,2024-12-11,17:11,instalacion,otono_2025,"SC, RR",,,,,,,,,,,,,,Sendero a la cascada de la felicidad. Bosque de Raulí-Coihue,Registro de instalacion,
