deployment,dcim_folder,original_name,original_relpath,flat_name,size_bytes,mtime,action
CT14,100EK113,01080001.JPG,100EK113\01080001.JPG,01080001.JPG,6158062,2026-01-08 17:01:02,moved
CT14,100EK113,01080002.JPG,100EK113\01080002.JPG,01080002.JPG,6211054,2026-01-08 17:01:02,moved
CT14,100EK113,01080003.JPG,100EK113\01080003.JPG,01080003.JPG,5474304,2026-01-08 17:01:02,moved
CT14,100EK113,01080004.JPG,100EK113\01080004.JPG,01080004.JPG,5949973,2026-01-08 17:01:04,moved
CT14,100EK113,01080005.JPG,100EK113\01080005.JPG,01080005.JPG,5663327,2026-01-08 17:01:04,moved
CT14,100EK113,01080006.JPG,100EK113\01080006.JPG,01080006.JPG,6046530,2026-01-08 17:01:06,moved
CT14,100EK113,01080007.JPG,100EK113\01080007.JPG,01080007.JPG,5676542,2026-01-08 17:01:06,moved
CT14,100EK113,01080008.JPG,100EK113\01080008.JPG,01080008.JPG,5586437,2026-01-08 17:01:09,moved
CT14,100EK113,01080009.JPG,100EK113\01080009.JPG,01080009.JPG,5735053,2026-01-08 17:01:08,moved
CT14,100EK113,01080010.JPG,100EK113\01080010.JPG,01080010.JPG,5918708,2026-01-08 17:01:08,moved
CT14,100EK113,01080011.JPG,100EK113\01080011.JPG,01080011.JPG,5246974,2026-01-08 17:01:10,moved
CT14,100EK113,01080012.JPG,100EK113\01080012.JPG,01080012.JPG,5696130,2026-01-08 17:01:10,moved
CT14,100EK113,01080013.JPG,100EK113\01080013.JPG,01080013.JPG,5539462,2026-01-08 17:01:13,moved
CT14,100EK113,01080014.JPG,100EK113\01080014.JPG,01080014.JPG,5677806,2026-01-08 17:01:12,moved
CT14,100EK113,01080015.JPG,100EK113\01080015.JPG,01080015.JPG,5818532,2026-01-08 17:01:12,moved
CT14,100EK113,01080016.JPG,100EK113\01080016.JPG,01080016.JPG,5903159,2026-01-08 17:01:17,moved
CT14,100EK113,01080017.JPG,100EK113\01080017.JPG,01080017.JPG,5769865,2026-01-08 17:01:16,moved
CT14,100EK113,01080018.JPG,100EK113\01080018.JPG,01080018.JPG,5806464,2026-01-08 17:01:16,moved
CT14,100EK113,01080019.JPG,100EK113\01080019.JPG,01080019.JPG,5824053,2026-01-08 17:02:03,moved
CT14,100EK113,01080020.JPG,100EK113\01080020.JPG,01080020.JPG,5842001,2026-01-08 17:02:02,moved
CT14,100EK113,01080021.JPG,100EK113\01080021.JPG,01080021.JPG,5821330,2026-01-08 17:02:02,moved
CT14,100EK113,01080022.JPG,100EK113\01080022.JPG,01080022.JPG,6047652,2026-01-08 17:03:03,moved
CT14,100EK113,01080023.JPG,100EK113\01080023.JPG,01080023.JPG,5929980,2026-01-08 17:03:02,moved
CT14,100EK113,01080024.JPG,100EK113\01080024.JPG,01080024.JPG,5938446,2026-01-08 17:03:02,moved
CT14,100EK113,01080025.JPG,100EK113\01080025.JPG,01080025.JPG,5852582,2026-01-08 17:04:00,moved
CT14,100EK113,01080026.JPG,100EK113\01080026.JPG,01080026.JPG,5960749,2026-01-08 17:04:03,moved
CT14,100EK113,01080027.JPG,100EK113\01080027.JPG,01080027.JPG,5984366,2026-01-08 17:04:02,moved
CT14,100EK113,01080028.JPG,100EK113\01080028.JPG,01080028.JPG,5975227,2026-01-08 17:05:03,moved
CT14,100EK113,01080029.JPG,100EK113\01080029.JPG,01080029.JPG,5966649,2026-01-08 17:05:02,moved
CT14,100EK113,01080030.JPG,100EK113\01080030.JPG,01080030.JPG,5964640,2026-01-08 17:05:02,moved
CT14,100EK113,01080031.JPG,100EK113\01080031.JPG,01080031.JPG,6136596,2026-01-08 17:06:03,moved
CT14,100EK113,01080032.JPG,100EK113\01080032.JPG,01080032.JPG,6092520,2026-01-08 17:06:02,moved
CT14,100EK113,01080033.JPG,100EK113\01080033.JPG,01080033.JPG,6071879,2026-01-08 17:06:02,moved
CT14,100EK113,01080034.JPG,100EK113\01080034.JPG,01080034.JPG,5991981,2026-01-08 17:07:00,moved
CT14,100EK113,01080035.JPG,100EK113\01080035.JPG,01080035.JPG,5986590,2026-01-08 17:07:03,moved
CT14,100EK113,01080036.JPG,100EK113\01080036.JPG,01080036.JPG,5981386,2026-01-08 17:07:02,moved
CT14,100EK113,01080037.JPG,100EK113\01080037.JPG,01080037.JPG,6066688,2026-01-08 17:08:00,moved
CT14,100EK113,01080038.JPG,100EK113\01080038.JPG,01080038.JPG,6049619,2026-01-08 17:08:03,moved
CT14,100EK113,01080039.JPG,100EK113\01080039.JPG,01080039.JPG,6037531,2026-01-08 17:08:02,moved
