deployment,original_path,new_path,action
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080001.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080001.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080002.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080002.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080003.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080003.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080004.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080004.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080005.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080005.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080006.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080006.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080007.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080007.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080008.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080008.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080009.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080009.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080010.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080010.JPG,moved
CT_14,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\100EK113\01080011.JPG,C:\Users\USUARIO\Desktop\BP Mayo 2026\SynologyDrive\CT_14\01080011.JPG,moved
