deployment,dcim_folder,original_name,original_relpath,flat_name,size_bytes,mtime,action
CT02,100EK113,05140001.JPG,100EK113\05140001.JPG,05140001.JPG,5525883,2025-05-14 16:19:32,moved
CT02,100EK113,05140002.JPG,100EK113\05140002.JPG,05140002.JPG,5633624,2025-05-14 16:19:34,moved
CT02,100EK113,05140003.JPG,100EK113\05140003.JPG,05140003.JPG,5956519,2025-05-14 16:19:34,moved
CT02,100EK113,05140004.MOV,100EK113\05140004.MOV,05140004.MOV,43697335,2025-05-14 16:19:42,moved
CT02,100EK113,05140005.JPG,100EK113\05140005.JPG,05140005.JPG,5397903,2025-05-14 16:19:44,moved
CT02,100EK113,05140006.JPG,100EK113\05140006.JPG,05140006.JPG,5129572,2025-05-14 16:19:46,moved
CT02,100EK113,05140007.JPG,100EK113\05140007.JPG,05140007.JPG,5720805,2025-05-14 16:19:46,moved
CT02,100EK113,05140008.MOV,100EK113\05140008.MOV,05140008.MOV,118822441,2025-05-14 16:20:04,moved
CT02,100EK113,05140009.JPG,100EK113\05140009.JPG,05140009.JPG,6054979,2025-05-14 16:20:42,moved
CT02,100EK113,05140010.JPG,100EK113\05140010.JPG,05140010.JPG,5877359,2025-05-14 16:20:42,moved
CT02,100EK113,05140011.JPG,100EK113\05140011.JPG,05140011.JPG,5837002,2025-05-14 16:20:45,moved
CT02,100EK113,05140012.MOV,100EK113\05140012.MOV,05140012.MOV,120711443,2025-05-14 16:21:00,moved
CT02,100EK113,05140013.JPG,100EK113\05140013.JPG,05140013.JPG,6068329,2025-05-14 16:21:02,moved
CT02,100EK113,05140014.JPG,100EK113\05140014.JPG,05140014.JPG,6045995,2025-05-14 16:21:04,moved
CT02,100EK113,05140015.JPG,100EK113\05140015.JPG,05140015.JPG,5784229,2025-05-14 16:21:04,moved
CT02,100EK113,05140016.MOV,100EK113\05140016.MOV,05140016.MOV,116259005,2025-05-14 16:21:22,moved
CT02,100EK113,06220017.JPG,100EK113\06220017.JPG,06220017.JPG,4098794,2025-06-22 20:40:58,moved
CT02,100EK113,06220018.JPG,100EK113\06220018.JPG,06220018.JPG,4110824,2025-06-22 20:41:01,moved
CT02,100EK113,06220019.JPG,100EK113\06220019.JPG,06220019.JPG,4119671,2025-06-22 20:41:00,moved
CT02,100EK113,06220020.MOV,100EK113\06220020.MOV,06220020.MOV,91397459,2025-06-22 20:41:18,moved
CT02,100EK113,06250021.JPG,100EK113\06250021.JPG,06250021.JPG,3915287,2025-06-25 06:48:00,moved
CT02,100EK113,06250022.JPG,100EK113\06250022.JPG,06250022.JPG,3917196,2025-06-25 06:48:02,moved
CT02,100EK113,06250023.JPG,100EK113\06250023.JPG,06250023.JPG,3920098,2025-06-25 06:48:04,moved
CT02,100EK113,06250024.MOV,100EK113\06250024.MOV,06250024.MOV,85420470,2025-06-25 06:48:22,moved
CT02,100EK113,06250025.JPG,100EK113\06250025.JPG,06250025.JPG,3907055,2025-06-25 06:59:07,moved
CT02,100EK113,06250026.JPG,100EK113\06250026.JPG,06250026.JPG,3913166,2025-06-25 06:59:09,moved
CT02,100EK113,06250027.JPG,100EK113\06250027.JPG,06250027.JPG,3915607,2025-06-25 06:59:11,moved
CT02,100EK113,06250028.MOV,100EK113\06250028.MOV,06250028.MOV,90184436,2025-06-25 06:59:26,moved
CT02,100EK113,06250029.JPG,100EK113\06250029.JPG,06250029.JPG,3930513,2025-06-25 07:05:34,moved
CT02,100EK113,06250030.JPG,100EK113\06250030.JPG,06250030.JPG,3928731,2025-06-25 07:05:37,moved
CT02,100EK113,06250031.JPG,100EK113\06250031.JPG,06250031.JPG,3934724,2025-06-25 07:05:39,moved
CT02,100EK113,06250032.MOV,100EK113\06250032.MOV,06250032.MOV,85457894,2025-06-25 07:05:54,moved
CT02,100EK113,06260033.JPG,100EK113\06260033.JPG,06260033.JPG,3719791,2025-06-26 03:51:14,moved
CT02,100EK113,06260034.JPG,100EK113\06260034.JPG,06260034.JPG,3720844,2025-06-26 03:51:16,moved
CT02,100EK113,06260035.JPG,100EK113\06260035.JPG,06260035.JPG,3728572,2025-06-26 03:51:19,moved
CT02,100EK113,06260036.MOV,100EK113\06260036.MOV,06260036.MOV,88103857,2025-06-26 03:51:34,moved
CT02,100EK113,06260037.JPG,100EK113\06260037.JPG,06260037.JPG,3769146,2025-06-26 03:57:17,moved
CT02,100EK113,06260038.JPG,100EK113\06260038.JPG,06260038.JPG,3771753,2025-06-26 03:57:19,moved
CT02,100EK113,06260039.JPG,100EK113\06260039.JPG,06260039.JPG,3776474,2025-06-26 03:57:21,moved
CT02,100EK113,06260040.MOV,100EK113\06260040.MOV,06260040.MOV,91910581,2025-06-26 03:57:38,moved
CT02,100EK113,06260041.JPG,100EK113\06260041.JPG,06260041.JPG,3744595,2025-06-26 03:59:47,moved
CT02,100EK113,06260042.JPG,100EK113\06260042.JPG,06260042.JPG,3755718,2025-06-26 03:59:49,moved
CT02,100EK113,06260043.JPG,100EK113\06260043.JPG,06260043.JPG,3755364,2025-06-26 03:59:51,moved
CT02,100EK113,06260044.MOV,100EK113\06260044.MOV,06260044.MOV,84410175,2025-06-26 04:00:07,moved
CT02,100EK113,06260045.JPG,100EK113\06260045.JPG,06260045.JPG,3663567,2025-06-26 04:01:23,moved
CT02,100EK113,06260046.JPG,100EK113\06260046.JPG,06260046.JPG,3666813,2025-06-26 04:01:25,moved
CT02,100EK113,06260047.JPG,100EK113\06260047.JPG,06260047.JPG,3675547,2025-06-26 04:01:27,moved
CT02,100EK113,06260048.MOV,100EK113\06260048.MOV,06260048.MOV,88852330,2025-06-26 04:01:45,moved
CT02,100EK113,06280049.JPG,100EK113\06280049.JPG,06280049.JPG,4011088,2025-06-28 00:48:16,moved
CT02,100EK113,06280050.JPG,100EK113\06280050.JPG,06280050.JPG,4010176,2025-06-28 00:48:16,moved
CT02,100EK113,06280051.JPG,100EK113\06280051.JPG,06280051.JPG,4013657,2025-06-28 00:48:18,moved
CT02,100EK113,06280052.MOV,100EK113\06280052.MOV,06280052.MOV,91590579,2025-06-28 00:48:34,moved
