campaign,station_id,field_start,field_end,field_days,has_media,media_status,note
primavera_2025,CT01,2025-05-28,2025-11-24,180,True,in_canonical,
primavera_2025,CT02,2025-05-14,2026-01-08,239,True,in_canonical,
primavera_2025,CT03,2025-06-05,2026-01-13,222,True,in_canonical,
primavera_2025,CT04,2025-05-14,2025-11-21,191,True,in_canonical,
primavera_2025,CT05,2025-05-28,2026-01-08,225,True,in_canonical,
primavera_2025,CT06,2025-05-14,2025-11-13,183,True,in_canonical,
primavera_2025,CT07,2025-06-04,2026-01-08,218,True,in_canonical,
primavera_2025,CT08,2025-06-05,2026-01-13,222,True,in_canonical,
primavera_2025,CT09,2025-05-14,2025-11-21,191,True,in_canonical,
primavera_2025,CT10,2025-05-28,2025-11-25,181,True,in_canonical,
primavera_2025,CT11,2025-05-29,2025-11-25,180,True,in_canonical,
primavera_2025,CT12,2025-05-29,2025-11-25,180,True,in_canonical,
primavera_2025,CT13,2025-05-29,2025-11-25,180,True,in_canonical,
primavera_2025,CT14,2025-06-04,2026-01-08,218,True,in_canonical,
primavera_2025,CT15,2025-06-09,2025-11-25,169,True,in_canonical,
primavera_2025,CT16,2025-06-09,2025-11-25,169,True,in_canonical,
primavera_2025,CT17,2025-06-06,2026-01-08,216,True,in_canonical,
primavera_2025,CT18,2025-06-10,2025-11-14,157,True,in_canonical,
primavera_2025,CT19,2025-06-05,2025-11-21,169,True,in_canonical,
primavera_2025,CT20,2025-06-09,2025-12-03,177,True,in_canonical,
primavera_2025,CT21,2025-06-05,2026-01-13,222,True,in_canonical,
primavera_2025,CT22,2025-06-11,2026-01-14,217,True,in_canonical,
primavera_2025,CT23,2025-06-10,2026-01-14,218,True,in_canonical,
primavera_2025,CT24,2025-06-10,2026-01-14,218,True,in_canonical,
primavera_2025,CT25,2025-06-10,2026-01-14,218,True,in_canonical,
primavera_2025,CT26,2025-06-10,2026-01-14,218,True,in_canonical,
