DataPackage,Deployments,RootFolder,File,RelativePath,DateTime,mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,exifData,favorite,mediaComments,observationID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments,reviewOutcome,datetime_corrected,valid_date,valid_time_of_day,repair_method,repair_anchor_source
,TC10_M3.2,Primavera-verano 2025-2026,06080001.JPG,TC10_M3.2, 2025-06-08 20:59:25,1d7dc612-51fe-4fd8-a747-71ac7e32a91b,,,,,false,,image/jpeg,,false,,827d819d-3b67-408d-a630-3acff6323d1a,,,,,animal,,Lycalopex culpaeus,,,,,,,,,,,,,machine,CLIP zero-shot + human review,2026-04-14T17:35:57,0.3436,,Zorro culpeo,confirmed,2025-06-08 20:59:25,True,True,none,
,TC10_M3.2,Primavera-verano 2025-2026,06080002.JPG,TC10_M3.2, 2025-06-08 20:59:25,9616d79f-0cee-4575-ac7f-b87899b80752,,,,,false,,image/jpeg,,false,,81a1f9c6-154d-415d-87f9-11b4bbe3ef7f,,,,,animal,,Lycalopex culpaeus,,,,,,,,,,,,,machine,CLIP zero-shot + human review,2026-04-14T17:35:57,0.324,,Zorro culpeo,confirmed,2025-06-08 20:59:25,True,True,none,
,TC10_M3.2,Primavera-verano 2025-2026,06080003.JPG,TC10_M3.2, 2025-06-08 20:59:26,d91589e7-36f7-43cd-9b38-ee5a3150b99a,,,,,false,,image/jpeg,,false,,ace38872-ec7c-4822-9c3e-2f9098b45f65,,,,,animal,,Lycalopex culpaeus,,,,,,,,,,,,,machine,CLIP zero-shot + human review,2026-04-14T17:35:57,0.3209,,Zorro culpeo,corrected,2025-06-08 20:59:26,True,True,none,
,TC10_M3.2,Primavera-verano 2025-2026,06130017.JPG,TC10_M3.2, 2025-06-13 05:27:31,34fb4af8-a84a-4969-a1f6-31718ed68cc4,,,,,false,,image/jpeg,,false,,15e4c78a-b19a-42ba-a1fb-a69905827396,,,,,animal,,Lycalopex culpaeus,,,,,,,,,,,,,machine,CLIP zero-shot + human review,2026-04-14T17:35:57,0.3347,,Zorro culpeo,corrected,2025-06-13 05:27:31,True,True,none,
,TC10_M3.2,Primavera-verano 2025-2026,06130018.JPG,TC10_M3.2, 2025-06-13 05:27:32,5a747495-34b3-437c-9fc3-f5ea495098d3,,,,,false,,image/jpeg,,false,,f2d220f4-45b0-4d09-84c6-169b7ccdd8fb,,,,,animal,,Lycalopex culpaeus,,,,,,,,,,,,,machine,CLIP zero-shot + human review,2026-04-14T17:35:57,0.3367,,Zorro culpeo,corrected,2025-06-13 05:27:32,True,True,none,
,TC10_M3.2,Primavera-verano 2025-2026,06130019.JPG,TC10_M3.2, 2025-06-13 05:27:33,a3672b87-7eb9-4799-90bf-c85feefc046b,,,,,false,,image/jpeg,,false,,2947416b-723c-400e-b5e0-3d454565043b,,,,,animal,,Lycalopex culpaeus,,,,,,,,,,,,,machine,CLIP zero-shot + human review,2026-04-14T17:35:57,0.3219,,Zorro culpeo,confirmed,2025-06-13 05:27:33,True,True,none,
,TC10_M3.2,Primavera-verano 2025-2026,07090033.JPG,TC10_M3.2, 2025-07-09 00:08:47,54f4330c-e075-4280-9756-68e23331d43d,,,,,false,,image/jpeg,,false,,40d95cd4-2325-4d29-8a0d-67491f3626a7,,,,,animal,,Lepus europaeus,,,,,,,,,,,,,machine,CLIP zero-shot + human review,2026-04-14T17:35:57,0.3116,,Liebre,corrected,2025-07-09 00:08:47,True,True,none,
,TC10_M3.2,Primavera-verano 2025-2026,07310038.JPG,TC10_M3.2, 2025-07-31 09:45:17,59ab1e56-9521-466a-8dbd-2d7aac54b3b9,,,,,false,,image/jpeg,,false,,da77b123-9a1c-4a83-97a3-65dd773264e8,,,,,animal,,,,,,,,,,,,,,,machine,CLIP zero-shot + human review,2026-04-14T17:35:57,0.3391,,No reconocible,corrected,2025-07-31 09:45:17,True,True,none,
,TC10_M3.2,Primavera-verano 2025-2026,07310039.JPG,TC10_M3.2, 2025-07-31 09:45:18,20c501da-41e0-49f5-8182-041314370b0d,,,,,false,,image/jpeg,,false,,9628f267-957d-43d3-ab98-500ec7ab72e1,,,,,animal,,Canis lupus familiaris,,,,,,,,,,,,,machine,CLIP zero-shot + human review,2026-04-14T17:35:57,0.3452,,Perro,confirmed,2025-07-31 09:45:18,True,True,none,
,TC10_M3.2,Primavera-verano 2025-2026,08070045.JPG,TC10_M3.2, 2025-08-07 03:27:40,f2e68600-055f-44b5-95e0-6f9890c94ec6,,,,,false,,image/jpeg,,false,,1ef1da7e-6a6d-48f2-b217-aefea2213bad,,,,,animal,,Lycalopex culpaeus,,,,,,,,,,,,,machine,CLIP zero-shot + human review,2026-04-14T17:35:57,0.3148,,Zorro culpeo,confirmed,2025-08-07 03:27:40,True,True,none,
