campaign,station_raw,camera_num,grid_id,notes
otono_2026,CT_01,1,,
otono_2026,CT_03,3,,
otono_2026,CT_04,4,,
otono_2026,CT_05,5,,
otono_2026,CT_06,6,,
otono_2026,CT_07,7,,
otono_2026,CT_08,8,,
otono_2026,CT_09,9,,
otono_2026,CT_10,10,,
otono_2026,CT_11,11,,
otono_2026,CT_13,13,,
otono_2026,CT_14,14,,
otono_2026,CT_15,15,,
otono_2026,CT_16,16,,
otono_2026,CT_17,17,,
otono_2026,CT_18,18,,
otono_2026,CT_19,19,,
otono_2026,CT_20,20,,
otono_2026,CT_21,21,,
otono_2026,CT_22,22,,
otono_2026,CT_23,23,,
otono_2026,CT_24,24,,
otono_2026,CT_25,25,,
otono_2026,CT_26,26,,
otono_2026,CT_27,27,,
primavera_2025,100EK113,5,,"unrenamed SD-card folder; = camera 5, confirmed vs pv TC5_M9.2"
primavera_2025,TC10_M3.2,10,3.2,
primavera_2025,TC11_M15.2,11,15.2,
primavera_2025,TC12_M17.2,12,17.2,
primavera_2025,TC13_M16.2,13,16.2,
primavera_2025,TC15_M12.2,15,12.2,
primavera_2025,TC16_M13.2,16,13.2,
primavera_2025,TC18_M15.2,18,15.2,
primavera_2025,TC19_M16.2,19,16.2,
primavera_2025,TC1_M7.2,1,7.2,
primavera_2025,TC20_M17.2,20,17.2,
primavera_2025,TC4_M5.2,4,5.2,
primavera_2025,TC6_M1.2,6,1.2,
primavera_2025,TC9_M2.2,9,2.2,
pv_2025_2026,TC10_M3.2,10,3.2,
pv_2025_2026,TC11_M15.2,11,15.2,
pv_2025_2026,TC13_M16.2,13,16.2,
pv_2025_2026,TC14_M11.2,14,11.2,
pv_2025_2026,TC15_M12.2,15,12.2,
pv_2025_2026,TC16_M13.2,16,13.2,
pv_2025_2026,TC18_M15.2,18,15.2,
pv_2025_2026,TC19_M16.2,19,16.2,
pv_2025_2026,TC20_M17.2,20,17.2,
pv_2025_2026,TC21_M18.2,21,18.2,
pv_2025_2026,TC23_M20.2,23,20.2,
pv_2025_2026,TC24_M21.2,24,21.2,
pv_2025_2026,TC25_M22.2,25,22.2,
pv_2025_2026,TC26_M23.2,26,23.2,
pv_2025_2026,TC2_M8.2,2,8.2,
pv_2025_2026,TC3_M6.2,3,6.2,
pv_2025_2026,TC4_M5.2,4,5.2,
pv_2025_2026,TC5_M9.2,5,9.2,
pv_2025_2026,TC7_M10.2,7,10.2,
pv_2025_2026,TC8_M4.2,8,4.2,
pv_2025_2026,TC9_M2.2,9,2.2,
