visit,CT,dir_before,dir_after,last_file_before,last_stamp_before,first_file_after,first_stamp_after,inferred_visit_date,confidence,verdict
otono_2025 -> primavera_2025,CT01,CT01,CT01,05280055.JPG,2025-05-28 14:12:26,09020001.JPG,2025-09-02 13:23:38,2025-09-02,MEDIUM,witnesses disagree by 97.0 d — old card suspect
otono_2025 -> primavera_2025,CT02,CT02,CT02,05140050.JPG,2025-05-14 17:05:13,05140001.JPG,2025-05-14 16:19:33,2025-05-14,HIGH,BOTH witnesses agree within 0.0 d
otono_2025 -> primavera_2025,CT03,CT03,CT03,06050399.JPG,2025-06-05 15:38:29,06100001.JPG,2025-06-10 11:05:01,2025-06-10,MEDIUM,witnesses disagree by 4.8 d — old card suspect
otono_2025 -> primavera_2025,CT04,CT04,CT04,11300999.JPG,2024-11-30 15:28:50,05140001.JPG,2025-05-14 11:39:33,2025-05-14,MEDIUM,witnesses disagree by 164.8 d — old card suspect
otono_2025 -> primavera_2025,CT05,CT05,CT05,05280102.JPG,2025-05-28 12:35:54,07110001.JPG,2025-07-11 20:24:09,2025-07-11,MEDIUM,witnesses disagree by 44.3 d — old card suspect
otono_2025 -> primavera_2025,CT06,CT06,CT06,05140057.JPG,2025-05-10 07:51:33,05140001.JPG,2025-05-14 13:55:11,2025-05-14,MEDIUM,witnesses disagree by 4.3 d — old card suspect
otono_2025 -> primavera_2025,CT07,CT07,CT07,06040046.JPG,2025-06-01 16:14:23,06040001.JPG,2025-06-04 13:59:18,2025-06-04,HIGH,BOTH witnesses agree within 2.9 d
otono_2025 -> primavera_2025,CT08,CT08,CT08,05060229.JPG,2025-05-06 16:15:03,08130001.JPG,2025-08-13 08:54:58,2025-08-13,MEDIUM,witnesses disagree by 98.7 d — old card suspect
otono_2025 -> primavera_2025,CT09,CT09,CT09,05140485.JPG,2025-05-14 13:02:30,05160001.JPG,2025-05-16 16:49:20,2025-05-16,HIGH,BOTH witnesses agree within 2.2 d
otono_2025 -> primavera_2025,CT10,CT10,CT10,06050379.JPG,2025-06-03 14:41:49,06080001.JPG,2025-06-08 20:59:25,2025-06-08,MEDIUM,witnesses disagree by 5.3 d — old card suspect
otono_2025 -> primavera_2025,CT11,CT11,CT11,03260195.JPG,2025-03-24 16:56:06,07050001.JPG,2025-07-05 00:58:58,2025-07-05,MEDIUM,witnesses disagree by 102.3 d — old card suspect
otono_2025 -> primavera_2025,CT12,CT12,CT12,12220923.JPG,2024-12-22 13:39:16,06070001.JPG,2025-06-07 06:49:08,2025-06-07,MEDIUM,witnesses disagree by 166.7 d — old card suspect
otono_2025 -> primavera_2025,CT13,CT13,CT13,05290066.JPG,2025-05-29 14:02:54,07080001.JPG,2025-07-08 07:25:06,2025-07-08,MEDIUM,witnesses disagree by 39.7 d — old card suspect
otono_2025 -> primavera_2025,CT14,CT14,CT14,01170999.JPG,2025-01-16 19:46:02,01030001.JPG,2025-06-04 15:28:01,2025-06-04,MEDIUM,witnesses disagree by 138.8 d — old card suspect
otono_2025 -> primavera_2025,CT15,CT15,CT15,03300259.JPG,,06090001.JPG,2025-06-09 15:46:58,2025-06-09,MEDIUM-HIGH,only the FRESH card is plausible — use it
otono_2025 -> primavera_2025,CT16,CT16,CT16,04100095.JPG,,00300001.JPG,2025-06-09 16:19:27,2025-06-09,MEDIUM-HIGH,only the FRESH card is plausible — use it
otono_2025 -> primavera_2025,CT17,CT17,CT17,06040318.JPG,2025-06-04 15:46:13,06040001.JPG,2025-06-04 14:58:25,2025-06-04,HIGH,BOTH witnesses agree within 0.0 d
otono_2025 -> primavera_2025,CT18,CT18,CT18,06100115.JPG,2025-06-06 19:16:39,07100001.JPG,2025-06-10 15:50:57,2025-06-10,HIGH,BOTH witnesses agree within 3.9 d
otono_2025 -> primavera_2025,CT19,CT19,CT19,01010458.JPG,,06060001.JPG,2025-06-06 03:37:46,2025-06-06,MEDIUM-HIGH,only the FRESH card is plausible — use it
otono_2025 -> primavera_2025,CT20,CT20,CT20,02180999.JPG,2025-02-10 16:54:52,06090001.JPG,2025-06-09 13:35:05,2025-06-09,MEDIUM,witnesses disagree by 118.9 d — old card suspect
otono_2025 -> primavera_2025,CT23,CT23,CT23,06100008.JPG,2025-02-05 15:15:56,06100001.JPG,2025-06-10 12:24:17,2025-06-10,MEDIUM,witnesses disagree by 124.9 d — old card suspect
primavera_2025 -> otono_2026,CT01,CT01,CT01,09020007.JPG,2025-09-02 13:23:39,11260001.JPG,2025-11-26 13:39:23,2025-11-26,MEDIUM,witnesses disagree by 85.0 d — old card suspect
primavera_2025 -> otono_2026,CT02,CT02,CT02,09050999.JPG,2025-09-05 11:05:07,01080001.JPG,2026-01-08 14:43:42,2026-01-08,MEDIUM,witnesses disagree by 125.2 d — old card suspect
primavera_2025 -> otono_2026,CT03,CT03,CT03,01130276.JPG,2026-01-13 15:29:10,01170001.JPG,2026-01-17 11:35:18,2026-01-17,HIGH,BOTH witnesses agree within 3.8 d
