campaign,CT,dir,images,segments_needing_date,incoherent_segments,dcim_manifest,anchors_on_file,anchors_with_a_date,what_to_confirm,look_here_start_of_campaign,look_here_end_of_PREVIOUS_campaign,look_here_end_of_campaign,look_here_start_of_NEXT_campaign
otono_2025,CT03,CT03,321,1,1,yes,none,NONE,INSTALL date,10100001.JPG (2024-10-10 01:39:13) | 10100002.JPG (2024-10-10 01:39:14) | 10100003.JPG (2024-10-10 01:39:15),-,06050397.JPG (2025-06-05 15:38:57) | 06050398.JPG (2025-06-05 15:38:58) | 06050399.JPG (2025-06-05 15:38:59),06100001.JPG (2025-06-10 11:05:01) | 06100002.JPG (2025-06-10 11:05:02) | 06100004.JPG (2025-06-10 11:58:09)
otono_2025,CT08,CT08,229,2,0,yes,none,NONE,INSTALL date,09090001.JPG (2024-09-09 15:54:20) | 09090002.JPG (2024-09-09 15:54:21) | 09090003.JPG (2024-09-09 15:54:21),-,05060227.JPG (2025-05-06 16:15:04) | 05060228.JPG (2025-05-06 16:15:04) | 05060229.JPG (2025-05-06 16:15:05),08130001.JPG (2025-08-13 08:54:58) | 09090001.JPG (2025-09-09 07:13:24) | 10270001.JPG (2025-10-27 23:36:15)
otono_2025,CT10,CT10,285,2,0,yes,none,NONE,INSTALL date,10090001.JPG (2024-10-09 15:55:17) | 10090002.JPG (2024-10-09 15:55:18) | 10090003.JPG (2024-10-09 15:55:19),-,06050377.JPG (2025-06-05 16:32:30) | 06050378.JPG (2025-06-05 16:32:31) | 06050379.JPG (2025-06-05 16:32:32),06080001.JPG (2025-06-08 20:59:25) | 06080002.JPG (2025-06-08 20:59:25) | 06080003.JPG (2025-06-08 20:59:26)
otono_2025,CT13,CT13,54,2,0,yes,none,NONE,INSTALL date,10220001.JPG (2024-10-22 16:52:15) | 10220002.JPG (2024-10-22 16:52:16) | 10220003.JPG (2024-10-22 16:52:17),-,05290064.JPG (2025-05-29 14:03:42) | 05290065.JPG (2025-05-29 14:03:43) | 05290066.JPG (2025-05-29 14:03:45),07080001.JPG (2025-07-08 07:25:06) | 07080002.JPG (2025-07-08 07:25:06) | 07080003.JPG (2025-07-08 07:25:07)
otono_2025,CT15,CT15,195,14,3,yes,unrepairable_pending,NONE,INSTALL date,01100001.JPG (2025-01-10 15:07:13) | 01100002.JPG (2025-01-10 15:07:14) | 01100003.JPG (2025-01-10 15:07:15),-,03300257.JPG (2017-03-30 00:43:57) | 03300258.JPG (2017-03-30 00:43:58) | 03300259.JPG (2017-03-30 00:43:59),06090001.JPG (2025-06-09 15:46:58) | 06090002.JPG (2025-06-09 15:46:59) | 06090004.JPG (2025-06-09 16:26:48)
otono_2025,CT16,CT16,72,9,3,yes,unrepairable_pending,NONE,INSTALL date,01090001.JPG (2025-01-09 14:18:58) | 01090002.JPG (2025-01-09 14:18:59) | 01090003.JPG (2025-01-09 14:19:00),-,04100093.JPG (2017-04-10 06:42:01) | 04100094.JPG (2017-04-10 06:42:02) | 04100095.JPG (2017-04-10 06:42:03),00300001.JPG (2025-06-09 16:19:27) | 00300002.JPG (2025-06-09 16:19:28) | 00300003.JPG (2025-06-09 16:19:29)
otono_2025,CT19,CT19,373,68,8,yes,unrepairable_pending,NONE,INSTALL date,03100001.JPG (2017-01-01 00:04:10) | 03100002.JPG (2017-01-01 00:04:11) | 03100003.JPG (2017-01-01 00:04:11),-,01010456.JPG (2017-01-01 00:00:46) | 01010457.JPG (2017-01-01 00:00:47) | 01010458.JPG (2017-01-01 00:00:48),06060001.JPG (2025-06-06 03:37:46) | 06060002.JPG (2025-06-06 03:37:47) | 06100004.JPG (2025-06-10 06:22:30)
otono_2026,CT18,CT18,312,5,1,NO,"install,last_real_proxy","install,last_real_proxy",RETRIEVAL date,11190001.JPG (2025-11-19 06:41:40) | 11190002.JPG (2025-11-19 06:41:41) | 11190003.JPG (2025-11-19 06:41:42),10120092.JPG (2025-09-12 03:53:49) | 10120093.JPG (2025-09-12 03:53:50) | 10120094.JPG (2025-09-12 03:53:51),01310452.JPG (2017-04-02 19:48:30) | 01310453.JPG (2017-04-02 19:48:31) | 01310454.JPG (2017-04-02 19:48:32),-
primavera_2025,CT08,CT08,2434,1,1,yes,none,NONE,INSTALL date,08130001.JPG (2025-08-13 08:54:58) | 09090001.JPG (2025-09-09 07:13:24) | 10270001.JPG (2025-10-27 23:36:15),05060227.JPG (2025-05-06 16:15:04) | 05060228.JPG (2025-05-06 16:15:04) | 05060229.JPG (2025-05-06 16:15:05),10270998.JPG (2025-10-27 23:30:40) | 09090999.JPG (2025-09-09 07:13:23) | 10270999.JPG (2025-10-27 23:36:13),01130001.JPG (2026-01-13 20:22:12) | 01130002.JPG (2026-01-13 20:22:14) | 04130002.JPG (2026-04-13 22:39:10)
primavera_2025,CT16,CT16,66,4,2,NO,unrepairable_pending,NONE,INSTALL date,00300001.JPG (2025-06-09 16:19:27) | 00300002.JPG (2025-06-09 16:19:28) | 00300003.JPG (2025-06-09 16:19:29),04100093.JPG (2017-04-10 06:42:01) | 04100094.JPG (2017-04-10 06:42:02) | 04100095.JPG (2017-04-10 06:42:03),05010074.JPG (2017-05-10 23:33:07) | 05010075.JPG (2017-05-10 23:33:23) | 05010076.JPG (2017-05-10 23:33:24),11250001.JPG (2025-11-25 13:30:11) | 11250002.JPG (2025-11-25 13:30:12) | 11250003.JPG (2025-11-25 13:30:13)
